full_index;Starting age;intervention;LY disc;LY;QALY disc;QALY;cost disc;costs;kf_incidence;ace costs;dapa costs;screening costs;discounted screening costs;diagnosis costs;PSA screening + office;avg on dapa;dis_LY_detected;dis_QALY_detected;dis_cost_detected;detected_total;original treated
368878;35;Placebo;23.85912878;44.02263836;18.15018199;31.75184663;290764.3762;654421.1853;2.460498807;143.4167597;0;0;0;0;54.8186825;0;0.402728541;0.238078691;14297.16241;0.122924004;0.001103327
368878;35;[0, 10, 20, 30, 40];23.89380706;44.16939453;18.19139711;31.87959546;294028.7418;662578.4668;1.853936691;3220.907728;0;174.4008588;121.407306;217.7630363;54.8186825;0;8.595342292;6.208413043;131431.9058;0.616648527;0.001103327
292571;35;Placebo;23.828892;43.90504825;19.89769142;35.60624246;277940.9027;625053.2483;2.041880316;183.1929727;0;0;0;0;57.2236497;0;0.570887903;0.401490383;17153.98108;0.162371236;0.00159056
292571;35;[0, 10, 20, 30, 40];23.86106601;44.04075472;19.93379493;35.73658238;281154.8552;632938.7658;1.503605985;3154.580625;0;181.3780104;126.467376;162.1953029;57.2236497;0;8.629833405;7.001990882;127070.0339;0.635045403;0.00159056
772258;35;Placebo;23.78788934;43.69100381;19.18570499;33.85637786;253223.6712;567772.3913;2.545360243;148.7028612;0;0;0;0;45.40212613;0;0.508871659;0.325333055;14861.95862;0.164636266;0.002234692
772258;35;[0, 10, 20, 30, 40];23.79734893;43.73162997;19.19646587;33.89410086;255876.4487;574278.6677;2.352949375;2232.462777;0;159.409082;107.6422218;129.1803331;45.40212613;0;6.35307132;4.895381344;89085.06614;0.520130402;0.002234692
922658;35;Placebo;23.87863158;44.10820429;19.6468124;34.988837;298246.9918;670419.2177;1.607354958;110.5841043;0;0;0;0;46.01230263;0;0.398462337;0.258618939;12282.83427;0.121317763;0.00096967
922658;35;[0, 10, 20, 30, 40];23.8860796;44.13988221;19.65554917;35.01940241;300950.2233;677136.8973;1.493885503;1984.131683;0;157.3452355;107.1004232;161.4285648;46.01230263;0;7.034171356;5.566466604;111229.9982;0.536149192;0.00096967
350112;35;Placebo;23.76861017;43.58636549;19.3198795;34.10977087;242986.3064;545322.1009;3.253732785;161.1098705;0;0;0;0;59.16333362;0;0.509727607;0.33430661;14746.01433;0.163703024;0.002362038
350112;35;[0, 10, 20, 30, 40];23.78121615;43.63962453;19.3331308;34.15738736;245997.5887;552317.8111;2.992817614;2749.907144;0;195.3430543;134.4502065;153.4177801;59.16333362;0;7.719569771;6.032885132;101747.8639;0.59329504;0.002362038
730091;35;Placebo;23.81294444;43.78462073;19.46771763;34.67932155;231646.9023;519927.5554;0.940024835;130.8361443;0;0;0;0;59.79970192;0;0.516402054;0.368577743;11745.75018;0.150763102;0.001215998
730091;35;[0, 10, 20, 30, 40];23.82436456;43.83327255;19.4800335;34.72297497;234326.626;526750.3588;0.839051049;1884.4978;0;206.1978528;140.0526888;147.2257815;59.79970192;0;6.785430628;5.364536169;84994.0488;0.539281861;0.001215998
965346;35;Placebo;23.87797986;44.1146656;19.58114936;34.97034783;281853.1172;634873.3416;1.450104831;129.8140137;0;0;0;0;57.28860586;0;0.373779649;0.252047077;10407.47781;0.102108396;0.001846464
965346;35;[0, 10, 20, 30, 40];23.88174648;44.13082283;19.58563946;34.98602354;285037.6428;642176.8162;1.387506336;2833.305505;0;193.5810698;132.1105998;143.319633;57.28860586;0;7.299618634;5.779986171;108839.8052;0.540599284;0.001846464
854772;35;Placebo;23.73759276;43.43713764;19.27388898;34.0047009;296498.2109;660883.9411;0.818833243;173.2451068;0;0;0;0;53.51507639;0;0.500549855;0.341272367;13107.52297;0.162717574;0.001143277
854772;35;[0, 10, 20, 30, 40];23.73863302;43.44165174;19.27494757;34.00857969;300429.9809;671201.8832;0.812531119;2482.758565;0;173.7427124;120.2429109;203.3791947;53.51507639;0;8.04268142;6.297305747;126251.4454;0.611030348;0.001143277
487727;35;Placebo;23.79694347;43.71331786;20.01970493;35.77815977;231732.6395;520084.9851;3.080457421;119.7617148;0;0;0;0;59.09254026;0;0.469964921;0.326743246;13962.3523;0.156837511;0.001319558
487727;35;[0, 10, 20, 30, 40];23.79694347;43.71331786;20.01970493;35.77815977;235469.8929;528380.3079;3.080457421;3253.931871;0;174.7010443;124.5967886;295.1374675;59.09254026;0;10.00627932;8.203142675;122526.5054;0.707371439;0.001319558
330857;35;Placebo;23.82329523;43.85947092;19.77578221;35.24306026;242491.2249;544532.5734;2.540893914;134.4747888;0;0;0;0;55.64212535;0;0.452854553;0.306505953;13944.14957;0.136456901;0.000923568
330857;35;[0, 10, 20, 30, 40];23.86257531;44.02597553;19.81872309;35.4005192;245575.7553;552180.3165;1.777645692;3103.414784;0;178.3280607;123.9514545;203.744124;55.64212535;0;8.421055725;6.773149502;109254.557;0.619621527;0.000923568
322819;35;Placebo;23.86225978;44.01975225;18.72017477;32.96550893;183926.3407;414163.6417;1.75839399;136.6982806;0;0;0;0;49.2110777;0;0.463659077;0.2702664;9584.150093;0.136585532;0.001159503
322819;35;[0, 10, 20, 30, 40];23.8969787;44.16967579;18.76678148;33.11840016;186604.4969;420750.961;1.219742214;2452.870082;0;161.2009662;111.229706;196.3534304;49.2110777;0;7.979553042;5.982645707;78475.85821;0.59164235;0.001159503
186817;35;Placebo;23.74743579;43.48100367;19.73063885;35.05368211;290069.9393;648834.9567;5.030664903;93.55030374;0;0;0;0;49.2156681;0;0.483414938;0.322365833;17839.75256;0.190821978;0.001092303
186817;35;[0, 10, 20, 30, 40];23.77441211;43.59592526;19.75890429;35.15861867;292071.7043;654315.4965;4.324447094;1586.554213;0;162.4929674;111.9702697;179.9742425;49.2156681;0;7.735606674;6.219618059;120642.6833;0.608538009;0.001092303
965044;35;Placebo;23.87388525;44.05825912;18.2177064;31.88663304;224229.6176;505557.5565;1.209789241;110.3070077;0;0;0;0;54.30351314;0;0.480692624;0.269891948;10828.94944;0.136496026;0.001782246
965044;35;[0, 10, 20, 30, 40];23.8914479;44.13413035;18.24299668;31.9626398;227055.4452;513128.8802;0.993779465;1822.253804;0;174.0719809;120.9043737;184.1615279;54.30351314;0;8.428641491;6.082643646;99603.63602;0.613520235;0.001782246
678067;35;Placebo;23.90430734;44.24448891;19.65437037;35.14943964;289394.1785;651949.7437;2.187671925;139.9395714;0;0;0;0;51.15910807;0;0.446478721;0.2839946;15590.56482;0.132825982;0.000778255
678067;35;[0, 10, 20, 30, 40];23.92468897;44.33053086;19.68224115;35.24313297;291865.5069;657731.5094;1.788559586;2686.991957;0;169.086251;116.3516545;162.2621491;51.15910807;0;7.798445646;6.192454511;119835.807;0.580869793;0.000778255
634881;35;Placebo;23.86260153;43.9835333;19.13776667;33.91922249;259013.2501;581074.2235;1.290683682;105.5069564;0;0;0;0;48.21305212;0;0.456662767;0.297532193;11221.80847;0.146619163;0.001630223
634881;35;[0, 10, 20, 30, 40];23.87377172;44.03231158;19.1515659;33.96599862;261275.2663;586380.8761;1.152276523;1975.749419;0;160.2021347;109.9843841;163.2353452;48.21305212;0;7.670079783;5.918235626;103965.6239;0.579579628;0.001630223
556677;35;Placebo;23.8822605;44.08720788;18.83996502;33.31060255;249490.3346;560521.9221;0.840462161;138.1671578;0;0;0;0;47.20906173;0;0.438809772;0.276919186;10951.0644;0.122966018;0.001075281
556677;35;[0, 10, 20, 30, 40];23.89715985;44.15204135;18.86066023;33.37656156;253122.8638;569478.4145;0.699158713;2793.443154;0;149.045295;104.0080751;161.0511217;47.20906173;0;8.782200223;6.652662398;115019.4221;0.63448056;0.001075281
772258;35;Placebo;23.80478946;43.76701436;18.92645309;33.32937784;228855.3019;515568.6576;2.670711795;101.3488305;0;0;0;0;61.15479345;0;0.515912374;0.326749655;14801.46148;0.167479588;0.002234692
772258;35;[0, 10, 20, 30, 40];23.81219668;43.79899;18.93477835;33.35802459;230818.3003;520264.6675;2.520233363;1623.79913;0;203.2727256;139.590407;156.4733825;61.15479345;0;7.597757531;5.776344687;94351.28123;0.588364448;0.002234692
